 close, high, low, open, volume,Date,Ticker
,,,,,2012-12-31,BURL
,,,,,2013-01-31,BURL
,,,,,2013-02-28,BURL
,,,,,2013-03-28,BURL
,,,,,2013-04-30,BURL
,,,,,2013-05-31,BURL
,,,,,2013-06-28,BURL
,,,,,2013-07-31,BURL
,,,,,2013-08-30,BURL
,,,,,2013-09-30,BURL
,,,,,2013-10-31,BURL
28.4400,30.7700,26.1501,26.9300,5861600,2013-11-29,BURL
32.0000,32.4400,21.5350,28.2500,12497600,2013-12-31,BURL
25.5800,32.9799,25.0201,32.0000,7292300,2014-01-31,BURL
27.2500,28.2000,23.8800,25.5800,7431300,2014-02-28,BURL
29.5200,32.5500,25.0800,27.1700,8601200,2014-03-31,BURL
25.9900,30.8300,25.4700,29.4800,5915700,2014-04-30,BURL
28.4200,29.8599,26.5800,26.6000,15618800,2014-05-30,BURL
31.8600,33.1200,27.2450,28.4400,14638200,2014-06-30,BURL
32.7300,33.5900,28.6600,31.9300,13094400,2014-07-31,BURL
35.6700,36.3700,31.9300,32.7700,6704500,2014-08-29,BURL
39.8600,40.8000,35.4100,35.9700,17351652,2014-09-30,BURL
41.9400,42.8850,37.1500,39.8300,17981435,2014-10-31,BURL
44.6700,45.0500,40.7300,41.9100,8108466,2014-11-28,BURL
47.2600,49.6300,42.2400,44.6000,19984452,2014-12-31,BURL
49.8900,52.1400,46.1600,47.3800,26754090,2015-01-30,BURL
55.5700,56.0700,48.1800,50.0100,12278517,2015-02-27,BURL
59.4200,61.9400,55.5418,55.6300,30856913,2015-03-31,BURL
51.5700,58.6500,50.5100,58.2900,28987054,2015-04-30,BURL
52.7700,55.2900,50.2400,51.4800,23764518,2015-05-29,BURL
51.2000,55.0700,47.6600,52.8500,53145143,2015-06-30,BURL
55.0400,56.9900,50.5300,51.7000,23897920,2015-07-31,BURL
53.0900,56.0500,43.3900,55.1400,34536735,2015-08-31,BURL
51.0400,56.3600,46.8400,52.1600,25005853,2015-09-30,BURL
48.0800,52.3200,44.6000,52.3100,23700181,2015-10-30,BURL
48.1100,50.8200,39.4000,47.9400,39274147,2015-11-30,BURL
42.9000,49.0000,40.8900,48.3300,28652608,2015-12-31,BURL
53.7300,54.0000,41.4100,41.8400,39272016,2016-01-29,BURL
56.0600,57.8900,48.5500,53.0100,22754610,2016-02-29,BURL
56.2400,58.5700,52.0200,56.3100,30519179,2016-03-31,BURL
56.9700,58.9400,53.9400,56.1200,20328514,2016-04-29,BURL
60.3600,61.0100,51.1900,57.3400,34086100,2016-05-31,BURL
66.7100,66.7700,59.8700,60.3300,31153465,2016-06-30,BURL
76.5100,76.9100,66.2200,67.0400,27683020,2016-07-29,BURL
81.2200,83.4100,72.4500,76.6200,25283448,2016-08-31,BURL
81.0200,87.2300,80.1350,80.9500,21966680,2016-09-30,BURL
74.9400,82.7200,72.8300,80.5800,20706694,2016-10-31,BURL
87.9200,91.6700,68.9400,74.2500,44113556,2016-11-30,BURL
84.7500,90.6990,84.2300,87.6200,16059743,2016-12-30,BURL
83.7000,87.9900,79.8000,85.1700,19122423,2017-01-31,BURL
89.0100,89.5300,81.9500,83.4100,15653967,2017-02-28,BURL
97.2900,98.0800,86.0600,89.5500,22061153,2017-03-31,BURL
98.9200,99.3400,90.4800,98.1700,15495920,2017-04-28,BURL
97.8500,104.0700,92.5100,99.0400,24786680,2017-05-31,BURL
91.9900,102.0000,80.8700,97.8400,30067281,2017-06-30,BURL
87.0300,94.1900,84.2100,92.6100,22818576,2017-07-31,BURL
87.1300,92.7800,79.0700,87.7700,37614186,2017-08-31,BURL
95.4600,96.6300,87.2700,87.5200,18161402,2017-09-29,BURL
93.8900,96.7000,87.2000,95.5400,19246136,2017-10-31,BURL
106.3700,108.5000,94.1500,94.8600,24732751,2017-11-30,BURL
123.0300,123.9200,103.9800,105.9400,19989879,2017-12-29,BURL
121.7100,128.9300,119.5100,123.3100,18389870,2018-01-31,BURL
122.6400,128.1000,109.6244,120.6100,15913230,2018-02-28,BURL
133.1500,133.9100,114.0400,121.8900,24256852,2018-03-29,BURL
135.8500,140.3400,131.6700,133.1800,16819811,2018-04-30,BURL
146.2500,150.1800,133.6000,135.1000,21551272,2018-05-31,BURL
150.5300,158.2300,145.5300,147.2400,23159003,2018-06-29,BURL
152.8100,158.9600,146.6300,149.1400,12721541,2018-07-31,BURL
168.1800,172.6500,149.6700,152.5300,19709463,2018-08-31,BURL
162.9200,175.4800,154.3400,168.0000,17493923,2018-09-28,BURL
171.4900,177.8800,148.0600,163.2100,24506326,2018-10-31,BURL
165.7600,180.2700,145.1600,171.6200,35431187,2018-11-30,BURL
162.6700,172.2950,147.7400,168.8500,19817226,2018-12-31,BURL
171.7100,171.9100,154.7812,160.2400,12664519,2019-01-31,BURL
169.7400,177.2800,159.7800,171.7000,14064753,2019-02-28,BURL
156.6800,172.6975,136.3000,170.0000,47549587,2019-03-29,BURL
168.9100,179.0000,151.0100,158.3000,26449874,2019-04-30,BURL
156.5800,174.8900,144.0600,168.9200,29436839,2019-05-31,BURL
170.1500,178.7361,153.2100,155.8000,15375066,2019-06-28,BURL
180.7500,184.8150,169.0300,172.9100,15273914,2019-07-31,BURL
176.7900,183.7400,172.5400,181.8600,2138944,2019-08-02,BURL
,,,,,1998-02-27,CFG
