 close, high, low, open, volume,Date,Ticker
38.2900,39.8000,35.4200,36.1000,34796400,2001-05-31,LMT
37.0500,39.0500,35.4000,38.4500,22171500,2001-06-29,LMT
39.6200,39.9300,35.3600,37.2000,29150300,2001-07-31,LMT
39.8600,40.2500,37.5800,39.8700,29728500,2001-08-31,LMT
43.7500,46.0000,37.9300,39.7000,67723900,2001-09-28,LMT
48.7700,52.9800,42.5000,44.0000,91287200,2001-10-31,LMT
46.4500,49.2500,42.4000,48.9500,41925500,2001-11-30,LMT
46.6700,47.2000,45.0100,47.2000,32269200,2001-12-31,LMT
52.9700,52.9700,45.8500,46.1500,54076600,2002-01-31,LMT
56.4100,57.8900,51.7200,52.6000,58151100,2002-02-28,LMT
57.5800,59.9600,54.1500,57.1500,48562800,2002-03-28,LMT
62.9000,63.4800,57.3500,59.4600,54954600,2002-04-30,LMT
62.0500,63.7500,59.9000,62.4500,42314500,2002-05-31,LMT
69.5000,71.5200,61.7500,62.3000,62343300,2002-06-28,LMT
64.1100,69.9700,52.3000,69.5000,92380500,2002-07-31,LMT
63.3200,66.7600,59.0800,63.8500,53709900,2002-08-30,LMT
64.6700,67.2200,62.0000,62.9000,50996700,2002-09-30,LMT
57.9000,65.5500,54.7500,64.9000,77738300,2002-10-31,LMT
52.2000,58.0000,48.6400,57.8900,88934500,2002-11-29,LMT
57.7500,58.3000,49.2000,52.3500,49782700,2002-12-31,LMT
51.0500,58.9500,49.5200,58.0700,58985700,2003-01-31,LMT
45.7200,51.9900,44.3400,49.9000,60875800,2003-02-28,LMT
47.5500,48.9700,40.6400,46.3900,82308000,2003-03-31,LMT
50.0500,51.6600,43.3200,47.4500,58606200,2003-04-30,LMT
46.4200,50.3200,45.9300,49.5000,41709000,2003-05-30,LMT
47.5700,49.9400,45.0000,46.6200,45474200,2003-06-30,LMT
52.3400,55.0000,46.8500,47.8000,50966100,2003-07-31,LMT
51.2300,52.9500,49.4000,52.9500,45486100,2003-08-29,LMT
46.1500,52.4500,44.0900,51.1000,70207100,2003-09-30,LMT
46.3600,47.9500,44.7800,46.1000,57955500,2003-10-31,LMT
